ticker,cluster,cluster_size,cluster_members,avg_dv_rank
QQQ,20,66,"AIQ,ARKF,ARKK,ARKQ,ARKW,BAI,BOTZ,CGGO,CGGR,CGXU,CHAT,COWG,DYNF,FBCG,FDN,FTEC,FTXL,GPIQ,GRID,GRNY,IGM,IOO,IUSG,IVES,IVW,IWP,IWY,IXN,IYW,IYZ,JEPQ,JGRO,JQUA,MAGS,MGC,MTUM,OEF,ONEQ,QDTE,QQQ,QQQE,QQQI,QQQM,QTEC,QTUM,RPG,RSPT,SCHG,SMH,SOXQ,SOXX,SPHB,SPMO,SPYG,SPYI,THRO,ULTY,VONG,VOT,VOX,XLC,XLG,XLK,XMMO,XSD,YMAX",1.0
IWM,6,78,"AIRR,AVLV,AVUV,CALF,CGDG,COWZ,DFAS,DFAT,DFLV,DFSV,DFUV,DGRO,DIA,FDVV,FESM,FNDA,FNDX,IFRA,IJH,IJJ,IJK,IJR,IJS,IJT,IUSV,IVE,IWD,IWM,IWN,IWO,IWR,IWS,IWX,IYJ,IYT,JAVA,JETS,JHMM,MDY,MGV,MOAT,PAVE,PRF,PVAL,RDVY,RSP,RWL,RYLD,SCHA,SCHM,SCHV,SDVY,SLYG,SLYV,SPGP,SPHQ,SPMD,SPSM,SPYV,VB,VBK,VBR,VFLO,VIG,VIOO,VIS,VLUE,VOE,VONV,VOOV,VTV,VTWO,VXF,VYM,XLI,XMHQ,XRT,XSMO",2.0
VOO,19,45,"ACWI,AVUS,BBUS,BKLC,CGDV,CGUS,DFAC,DFAU,DFUS,DGRW,DSI,DUHP,ESGU,ESGV,FELC,GPIX,GSLC,ITOT,IVV,IWB,IWV,IYC,JGLO,KLMN,OMFL,PBUS,PTLC,QUAL,RECS,SCHB,SCHK,SCHX,SNPE,SPTM,SVIX,SVXY,TCAF,URTH,VCR,VONE,VOO,VT,VTI,VV,XLY",3.0
TLT,9,3,"EDV,TLT,ZROZ",5.0
IBIT,17,13,"ARKB,BITO,BTCI,BTCO,ETHA,ETHV,EZBC,FBTC,FETH,HODL,IBIT,SOLZ,SSK",6.0
XLF,5,9,"FXO,IAI,IAT,IYF,KBE,KBWB,KRE,VFH,XLF",10.0
XLE,3,11,"AMLP,FCG,FENY,FXN,IXC,IYE,MLPX,OIH,VDE,XLE,XOP",13.0
GDX,14,8,"AAAU,GDX,GDXJ,RING,SIL,SILJ,SLVP,SLVR",14.0
XLV,7,11,"ARKG,FBT,FHLC,IBB,IHI,IXJ,IYH,PPH,VHT,XBI,XLV",15.0
EEM,13,24,"AAXJ,AIA,ASHR,AVEM,CQQQ,DEM,DFAE,DFEM,EEM,EEMA,EEMV,EMXC,ESGE,EWH,EWT,EWY,FNDE,FXI,IEMG,KWEB,MCHI,SCHE,SPEM,VWO",17.0
EFA,11,66,"ACWX,AVDE,AVDV,BBAX,BBEU,BBIN,BBJP,CWI,DBEF,DFAI,DFAX,DFIC,DFIS,DFIV,DIHP,DXJ,EFA,EFAV,EFG,EFV,EPP,ESGD,EUFN,EWA,EWG,EWI,EWJ,EWL,EWP,EWQ,EWU,EZU,FENI,FEZ,FLJP,FNDF,GCOW,GSIE,HEFA,IDEV,IDV,IEFA,IEUR,IEV,IGF,IHDG,IMTM,IPAC,IQLT,IVLU,IXUS,JIRE,SCHC,SCHF,SCHY,SCZ,SPDW,VEA,VEU,VGK,VIGI,VNQI,VPL,VSS,VXUS,VYMI",18.0
XLP,8,25,"DVY,FDL,FTCS,IHF,ITB,IYK,IYR,KIE,KNG,NOBL,REET,REM,RPV,RWR,SCHD,SCHH,SDY,SPHD,SPYD,USRT,VDC,VNQ,XHB,XLP,XLRE",20.0
XLU,10,5,"FUTY,FXU,IDU,VPU,XLU",28.0
EWZ,16,32,"ARGT,BBCA,BIZD,COPX,CWB,ECH,EIDO,EWC,EWW,EWZ,EZA,GNR,GUNR,ICLN,ICVT,ILF,IYM,KSA,LIT,MSOS,NLR,PBW,PICK,REMX,TAN,URA,URNM,VAW,VNM,WGMI,XLB,XME",30.0
IGV,18,5,"BUG,CIBR,IGV,SKYY,WCLD",31.0
IWF,2,7,"HDV,IWF,MGK,VGT,VO,VOOG,VUG",34.0
INDA,12,4,"EPI,FLIN,INDA,SMIN",63.0
VXX,1,10,"BITI,BTAL,DOG,NVDS,PSQ,RWM,SARK,SH,VIXY,VXX",68.0
ITA,15,6,"EUAD,ITA,MISL,PPA,SHLD,XAR",108.0
PDBC,4,7,"BCI,COMT,DBMF,FTGC,PDBC,PFIX,TBT",161.0
